H	Env	GY_BLUE	GM_BLUE	NE_BLUE
H_98	2006_CAMPO_MOURAO	6.67866804561858	34.4825264760576	45.3557352388119
H_99	2006_CAMPO_MOURAO	5.46467888424032	29.7068561046766	36.5360661902971
H_100	2006_CAMPO_MOURAO	6.28583881017669	32.675706545658	42.3677573022443
H_101	2007_CAMPO_MOURAO	4.33649992481331	13.5367651292077	35.9733948707473
H_5	2007_CAMPO_MOURAO	3.95299993951198	25.4985198634063	32.973394870746
H_102	2007_CAMPO_MOURAO	4.55600000622336	28.3367635299761	37.8510700861693
H_103	2007_CAMPO_MOURAO	4.07449997834473	29.4897126085365	39.8634727442675
H_104	2007_CAMPO_MOURAO	2.95349996068658	29.2352977864744	26.8439688505914
H_105	2007_CAMPO_MOURAO	3.5635000169751	33.5264681423504	29.1950389367607
H_106	2007_CAMPO_MOURAO	4.00099999509215	24.5529458800954	35.4219844252957
H_107	2007_CAMPO_MOURAO	3.86350007129036	24.6602985860907	29.3439688505914
H_108	2007_CAMPO_MOURAO	4.17249996933857	29.3691170355876	33.2907585920834
H_109	2007_CAMPO_MOURAO	3.9405000834335	29.6808877621097	29.6755350430846
H_110	2007_CAMPO_MOURAO	3.53400004872435	26.86911863482	33.3563715086895
H_111	2007_CAMPO_MOURAO	3.58600008166262	28.1955915748677	35.4095817671975
H_112	2007_CAMPO_MOURAO	3.92449999486446	29.6220645149155	33.4219844252957
H_113	2007_CAMPO_MOURAO	3.3820000113842	25.1367619307437	33.0975194683803
H_114	2007_CAMPO_MOURAO	3.76549998434041	26.4632412677212	34.5780155747043
H_115	2007_CAMPO_MOURAO	3.53499998909647	26.9294172209107	32.7074415948588
H_116	2007_CAMPO_MOURAO	3.83249994649429	29.1676544905507	32.3120622988172
H_117	2007_CAMPO_MOURAO	4.1160000226925	26.325007196546	35.7340467241129
H_118	2007_CAMPO_MOURAO	4.7129999207407	29.4338256460429	33.1808364656048
H_119	2007_CAMPO_MOURAO	4.09600003483563	26.1955963725651	27.5656129166061
H_120	2007_CAMPO_MOURAO	3.81200000012649	29.7338272452754	31.746449382211
H_121	2007_CAMPO_MOURAO	4.35300003306476	22.3603001853231	37.299659640719
H_122	2007_CAMPO_MOURAO	4.2734999462666	28.3867731253708	30.3120622988171
H_123	2007_CAMPO_MOURAO	4.20399996278633	27.401470541199	32.9875973419018
H_124	2007_CAMPO_MOURAO	4.59550006053862	30.8705939737164	43
H_125	2007_CAMPO_MOURAO	4.19399994049861	23.244125831366	31.0975194683803
H_126	2007_CAMPO_MOURAO	3.98950002345144	26.2941130375065	39.5975194683803
H_127	2007_CAMPO_MOURAO	3.5710000777667	25.1779434812467	35.246449382211
H_128	2007_CAMPO_MOURAO	3.31599997581491	22.6367619307437	35.193239123703
H_129	2007_CAMPO_MOURAO	3.75750008990984	28.5485326572658	33.5780155747043
H_130	2007_CAMPO_MOURAO	3.7090000552007	29.8867635299761	36.2588520403091
H_131	2007_CAMPO_MOURAO	4.21700008813897	22.4632364700238	34.8120622988171
H_132	2007_CAMPO_MOURAO	4.35150000134081	25.0897094100716	31.8244649569153
H_133	2007_CAMPO_MOURAO	3.31250001786054	24.5044068258998	35
H_134	2007_CAMPO_MOURAO	4.36199995858683	28.8794124232134	35.446789741492
H_135	2007_CAMPO_MOURAO	4.80799999557281	32.2970621160668	35.1099221264785
H_136	2007_CAMPO_MOURAO	4.29449998110224	23.7323487079141	34.6365272557325
H_137	2007_CAMPO_MOURAO	5.04449995921928	26.2588264456591	38.3634727442675
H_138	2007_CAMPO_MOURAO	3.3720000354175	25.1161791516544	39.7854571695632
H_139	2007_CAMPO_MOURAO	3.51349993346571	30.6249976011513	38.2322469110551
H_140	2007_CAMPO_MOURAO	3.69300004756064	28.2367683276735	40.6170233620564
H_141	2007_CAMPO_MOURAO	3.13900001285149	27.7249992003838	32.7978598276613
H_142	2007_CAMPO_MOURAO	4.08200004578976	25.9514721404315	33.3510700861693
H_143	2007_CAMPO_MOURAO	4.38549997551133	28.4426424963074	31.5390077873521
H_144	2007_CAMPO_MOURAO	3.92399995322361	30.1352977864744	32.6489299138306
H_145	2007_CAMPO_MOURAO	3.53899994669667	28.8102873914635	33.2464493822111
H_146	2007_CAMPO_MOURAO	3.69800000101193	29.2441178352038	33.8953792960417
H_147	2007_CAMPO_MOURAO	3.31099989906014	22.8529362847007	38.3421690375337
H_148	2007_CAMPO_MOURAO	3.40250001315507	26.3647070112229	35.226945488535
H_149	2007_CAMPO_MOURAO	3.85299997844593	25.8529378839332	28.9077819541399
H_150	2007_CAMPO_MOURAO	4.5060000113842	26.5794108239809	32.4609922126479
H_151	2007_CAMPO_MOURAO	2.78249992458603	31.3558837640286	29.973394870746
H_152	2007_CAMPO_MOURAO	3.43499994110577	20.5205811798568	30.6489299138307
H_153	2007_CAMPO_MOURAO	3.76500003797261	23.2294140224458	32.5124026580981
H_154	2007_CAMPO_MOURAO	3.78499991881804	21.5132364700238	30.2588520403092
H_155	2007_CAMPO_MOURAO	3.31299999192987	22.6455771817757	30.7021401723387
H_156	2007_CAMPO_MOURAO	3.68199997004692	26.4720549195208	35.9290856608737
H_157	2007_CAMPO_MOURAO	4.01599994429334	27.588226075013	35.7978598276613
H_158	2007_CAMPO_MOURAO	3.29450005838827	21.0499968015351	36.1826362786626
H_159	2007_CAMPO_MOURAO	3.35550002367913	27.2882276742454	33.3634727442675
H_160	2007_CAMPO_MOURAO	3.9460000566174	22.8647006142931	30.4166830027755
